Activity,Name,Address,Mon hrs,Tue hrs,Wed hrs,Thu hrs,Fri hrs,Coordinates,,
Food,Commons Dining Hall,"676 Lubbock St, College Station, TX ","7:00 am - 2:30 pm, 5:00 pm - 9:00 pm","7:00 am - 2:30 pm, 5:00 pm - 9:00 pm","7:00 am - 2:30 pm, 5:00 pm - 9:00 pm","7:00 am - 2:30 pm, 5:00 pm - 9:00 pm","7:00 am - 2:30 pm, 5:00 pm - 8:00 pm","30.61564, -96.33610",,
Food,Sbisa Dining Hall,"233 Houston St, College Station, TX","7:00 am - 2:30 pm, 5:00 pm - 8:00 pm","7:00 am - 2:30 pm, 5:00 pm - 8:00 pm","7:00 am - 2:30 pm, 5:00 pm - 8:00 pm","7:00 am - 2:30 pm, 5:00 pm - 8:00 pm","7:00 am - 2:30 pm, 5:00 pm - 8:00 pm","30.61722, -96.34378",,
Food,Duncan Dining Hall,"777 Military Mall, College Station, TX",11:00 am - 1:00 pm,11:00 am - 1:00 pm,"11:00 am - 1:00 pm, 5:00 pm - 8:00 pm",11:00 am - 1:00 pm,11:00 am - 1:00 pm,"30.61189, -96.33523",,
Food,1876 Burgers,"233 Houston St, College Station, TX",10:30 am - 8:00 pm,10:30 am - 8:00 pm,10:30 am - 8:00 pm,10:30 am - 8:00 pm,10:30 am - 7:00 pm,"30.61722, -96.34378",,
Food,Aggie Express,"306 University Dr, College Station, TX",8:00 am - 12:00 am,8:00 am - 12:00 am,8:00 am - 12:00 am,8:00 am - 12:00 am,8:00 am - 12:00 am,"30.61657, -96.34578",,
Food,Chick-Fil-A,"233 Houston St, College Station, TX",10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 8:00 pm,"30.61722, -96.34378",,
Food,Copperhead Jack's,"233 Houston St, College Station, TX",10:30 am - 8:00 pm,10:30 am - 8:00 pm,10:30 am - 8:00 pm,10:30 am - 8:00 pm,10:30 am - 7:00 pm,"30.61722, -96.34378",,
Food,Einstein Bros. Bagels ,"233 Houston St, College Station, TX",7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,"30.61722, -96.34378",,
Food,Houston Street Subs,"233 Houston St, College Station, TX",11:00 am - 3:00 pm,11:00 am - 3:00 pm,11:00 am - 3:00 pm,11:00 am - 3:00 pm,11:00 am - 3:00 pm,"30.61722, -96.34378",,
Food,Bagel Block,"155 Ireland St, College Station, TX",8:00 am - 4:00 pm,8:00 am - 4:00 pm,8:00 am - 4:00 pm,8:00 am - 4:00 pm,8:00 am - 3:00 pm,"30.61949, -96.34194",,
